,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites
0,b128,0,45.0,0
1,f932,0,45.0,0
2,g107,0,45.0,0
3,a457,0,45.0,0
4,c819,0,45.0,0
5,h246,0,45.0,0
6,p189,0,45.0,0
7,n923,0,45.0,0
8,q119,0,45.0,0
9,f993,0,45.0,0
10,z234,0,45.0,0
11,b559,0,45.0,0
12,y260,0,45.0,0
13,x930,0,45.0,0
14,o725,0,45.0,0
15,z969,0,45.0,0
16,v835,0,45.0,0
17,r604,0,45.0,0
18,n304,0,45.0,0
19,l700,0,45.0,0
20,x336,0,45.0,0
21,l725,0,45.0,0
22,m133,0,45.0,0
23,v295,0,45.0,0
24,a818,0,45.0,0
25,y601,0,45.0,0
26,t724,0,45.0,0
27,k382,0,45.0,0
28,w422,0,45.0,0
29,c326,0,45.0,0
30,c139,0,45.0,0
31,v339,0,45.0,0
32,a577,0,45.0,0
33,y163,0,45.0,0
34,k483,0,45.0,0
35,k804,0,45.0,0
36,o809,0,45.0,0
37,z581,0,45.0,0
38,a251,0,45.0,0
39,i386,0,45.0,0
40,c580,0,45.0,0
41,q132,0,45.0,0
42,u327,0,45.0,0
43,v603,0,45.0,0
44,f278,0,45.0,0
45,g497,0,45.0,0
46,d474,0,45.0,0
47,o973,0,45.0,0
48,c832,0,45.0,0
49,o331,0,45.0,0
50,m650,0,45.0,0
51,v289,0,45.0,0
52,m550,0,45.0,0
53,h428,0,45.0,0
54,r701,0,45.0,0
55,v199,0,45.0,0
56,x264,0,45.0,0
57,f234,0,45.0,0
58,c458,0,45.0,0
59,q610,0,45.0,0
60,j913,0,45.0,0
61,a411,0,45.0,0
62,a444,0,45.0,0
63,d251,0,45.0,0
64,j989,0,45.0,0
65,y449,0,45.0,0
66,k403,0,45.0,0
67,c758,0,45.0,0
68,x402,0,45.0,0
69,r811,0,45.0,0
70,a644,0,45.0,0
71,i177,0,45.0,0
72,g791,0,45.0,0
73,a520,0,45.0,0
74,u196,0,45.0,0
75,m546,0,45.0,0
76,w678,0,45.0,0
77,n364,0,45.0,0
78,s508,0,45.0,0
79,e662,0,45.0,0
80,z578,0,45.0,0
81,r921,0,45.0,0
82,a492,0,45.0,0
83,w540,0,45.0,0
84,v764,0,45.0,0
85,z795,0,45.0,0
86,e291,0,45.0,0
87,e584,0,45.0,0
88,e213,0,45.0,0
89,j755,0,45.0,0
90,s565,0,45.0,0
91,a366,0,45.0,0
92,p387,0,45.0,0
93,b879,0,45.0,0
94,i901,0,45.0,0
95,k862,0,45.0,0
96,g867,0,45.0,0
97,s619,0,45.0,0
98,w697,0,45.0,0
99,j984,0,45.0,0
100,c402,0,45.0,0
101,h333,0,45.0,0
102,k510,0,45.0,0
103,p981,0,45.0,0
104,t451,0,45.0,0
105,a963,0,45.0,0
106,m269,0,45.0,0
107,g989,0,45.0,0
108,z314,0,45.0,0
109,o848,0,45.0,0
110,v719,0,45.0,0
111,q597,0,45.0,0
112,c895,0,45.0,0
113,a203,0,45.0,0
114,f394,0,45.0,0
115,c264,0,45.0,0
116,n967,0,45.0,0
117,f545,0,45.0,0
118,k894,0,45.0,0
119,k754,0,45.0,0
120,g296,0,45.0,0
121,d164,0,45.0,0
122,w575,0,45.0,0
123,x613,0,45.0,0
124,q633,0,45.0,0
125,b313,0,45.0,0
126,f129,0,45.0,0
127,j365,0,45.0,0
128,p136,0,45.0,0
129,c559,0,45.0,0
130,a788,0,45.0,0
131,s337,0,45.0,0
132,q511,0,45.0,0
133,m331,0,45.0,0
134,o926,0,45.0,0
135,d133,0,45.0,0
136,n630,0,45.0,0
137,g989,0,45.0,0
138,a401,0,45.0,0
139,w350,0,45.0,0
140,c302,0,45.0,0
141,a897,0,45.0,0
142,j235,0,45.0,0
143,q787,0,45.0,0
144,a262,0,45.0,0
145,r850,0,45.0,0
146,i669,0,45.0,0
147,n763,0,45.0,0
148,s152,0,45.0,0
149,c766,0,45.0,0
150,e227,0,45.0,0
151,c282,0,45.0,0
152,v989,0,45.0,0
153,w140,0,45.0,0
154,v409,0,45.0,0
155,l872,0,45.0,0
156,o795,0,45.0,0
157,y478,0,45.0,0
158,q582,0,45.0,0
159,s166,0,45.0,0
160,x773,0,45.0,0
161,w167,0,45.0,0
162,t718,0,45.0,0
163,o302,0,45.0,0
164,i477,0,45.0,0
165,c757,0,45.0,0
166,t994,0,45.0,0
167,p310,0,45.0,0
168,a699,0,45.0,0
169,k603,0,45.0,0
170,x822,0,45.0,0
171,l558,0,45.0,0
172,l733,0,45.0,0
173,f436,0,45.0,0
174,l490,0,45.0,0
175,b759,0,45.0,0
176,l471,0,45.0,0
177,y865,0,45.0,0
178,y769,0,45.0,0
179,l661,0,45.0,0
180,j296,0,45.0,0
181,u149,0,45.0,0
182,u153,0,45.0,0
183,w151,0,45.0,0
184,h531,0,45.0,0
185,a685,0,45.0,0
186,o813,0,45.0,0
187,m756,0,45.0,0
188,n671,0,45.0,0
189,s121,0,45.0,0
190,v766,0,45.0,0
191,w193,0,45.0,0
192,e476,0,45.0,0
193,w584,0,45.0,0
194,b447,0,45.0,0
195,k210,0,45.0,0
196,a275,0,45.0,0
197,x581,0,45.0,0
198,n482,0,45.0,0
199,t198,0,45.0,0
200,l215,0,45.0,0
201,s141,0,45.0,0
202,o523,0,45.0,0
203,i635,0,45.0,0
204,w746,0,45.0,0
205,r107,0,45.0,0
206,s187,0,45.0,0
207,g570,0,45.0,0
208,x209,0,45.0,0
209,x111,0,45.0,0
210,z435,0,45.0,0
211,n678,0,45.0,0
212,g558,0,45.0,0
213,u946,0,45.0,0
214,o562,0,45.0,0
215,v991,0,45.0,0
216,c927,0,45.0,0
217,x226,0,45.0,0
218,p438,0,45.0,0
219,b487,0,45.0,0
220,o287,0,45.0,0
221,q483,0,45.0,0
222,t573,0,45.0,0
223,f345,0,45.0,0
224,i334,0,45.0,0
225,l264,0,45.0,0
226,j246,0,45.0,0
227,r554,0,45.0,0
228,s185,0,45.0,0
229,b742,0,45.0,0
230,x401,0,45.0,0
231,l509,0,45.0,0
232,s710,0,45.0,0
233,r157,0,45.0,0
